ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,74.23,0.66
2,75.65,0.62
3,74.7,0.56
4,74.42,0.44
5,74.64,0.59
6,74.69,0.45
7,74.92,0.46
8,74.51,0.53
9,74.71,0.44
TOTAL,707.48,4.75
