ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,80.61,1.33
2,79.15,1.01
3,78.08,1.2
4,78.79,1.0
5,78.97,1.0
6,78.38,1.33
7,79.24,0.99
8,79.53,1.54
9,79.29,1.43
TOTAL,753.45,10.83
