metodo;tiempo_total_mean;tiempo_total_std;tiempo_agg_mean;tiempo_agg_std
fedavg;408.37;74.77;0.16;0.02
fedprox;454.69;27.7;0.03;0.01
fedewa;2831.58;1017.26;0.01;0.0
fedag;287.74;70.16;0.15;0.04
mh_random_search;406.39;34.01;35.67;3.74
mh_de;1241.18;220.73;926.77;179.83
mh_ga;1664.0;224.56;1315.76;195.48
mh_pso;1490.54;372.01;1123.26;319.64
mh_cro;874.58;172.83;514.87;129.65
