metodo;accuracy_mean;accuracy_std;seed_16;seed_999;seed_1935
fedavg;0.998362;8e-05;0.998475;0.998305;0.998305
fedprox;0.998418;0.000524;0.997966;0.999153;0.998136
fedewa;0.445876;0.390866;0.169492;0.169492;0.998644
fedag;0.998588;0.00032;0.998136;0.998814;0.998814
mh_random_search;0.979774;0.027286;0.998814;0.999322;0.941186
mh_de;0.995763;0.004195;0.989831;0.998814;0.998644
mh_ga;0.998644;0.000138;0.998644;0.998814;0.998475
mh_pso;0.998983;0.000138;0.998983;0.999153;0.998814
mh_cro;0.95661;0.060404;0.871186;0.999322;0.999322
