metodo;hospital;AbdomenCT;BreastMRI;ChestCT;CXR;Hand;HeadCT
fedavg;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9867±0.0024;1.0000±0.0000
fedavg;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9950±0.0041;1.0000±0.0000
fedavg;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9950±0.0000;0.9983±0.0024
fedavg;Hospital_4;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9900±0.0000;1.0000±0.0000
fedavg;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9950±0.0000;0.9917±0.0024;1.0000±0.0000
fedprox;Hospital_1;1.0000±0.0000;0.9963±0.0052;1.0000±0.0000;0.9983±0.0024;0.9883±0.0024;1.0000±0.0000
fedprox;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9967±0.0047;1.0000±0.0000
fedprox;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9967±0.0024;1.0000±0.0000
fedprox;Hospital_4;1.0000±0.0000;0.9926±0.0105;1.0000±0.0000;1.0000±0.0000;0.9933±0.0024;1.0000±0.0000
fedprox;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9950±0.0000;0.9950±0.0041;1.0000±0.0000
fedewa;Hospital_1;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3317±0.4690;0.3333±0.4714
fedewa;Hospital_2;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3317±0.4690;0.3333±0.4714
fedewa;Hospital_3;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3317±0.4690;0.3333±0.4714
fedewa;Hospital_4;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3300±0.4667;0.3333±0.4714
fedewa;Hospital_5;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3317±0.4690;0.3300±0.4667;0.3333±0.4714
fedag;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9967±0.0024;0.9867±0.0062;1.0000±0.0000
fedag;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9967±0.0024;1.0000±0.0000
fedag;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9983±0.0024;0.9950±0.0000;1.0000±0.0000
fedag;Hospital_4;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9983±0.0024;0.9967±0.0024;1.0000±0.0000
fedag;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9950±0.0000;0.9950±0.0000;1.0000±0.0000
mh_random_search;Hospital_1;1.0000±0.0000;1.0000±0.0000;0.9167±0.1179;0.9983±0.0024;0.9817±0.0125;0.9717±0.0401
mh_random_search;Hospital_2;1.0000±0.0000;1.0000±0.0000;0.9217±0.1108;1.0000±0.0000;0.9833±0.0201;0.9817±0.0259
mh_random_search;Hospital_3;1.0000±0.0000;1.0000±0.0000;0.9167±0.1179;1.0000±0.0000;0.9800±0.0248;0.9817±0.0259
mh_random_search;Hospital_4;1.0000±0.0000;1.0000±0.0000;0.9200±0.1131;1.0000±0.0000;0.9850±0.0141;0.9867±0.0189
mh_random_search;Hospital_5;1.0000±0.0000;1.0000±0.0000;0.9133±0.1226;0.9950±0.0000;0.9850±0.0212;0.9850±0.0212
mh_de;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9717±0.0189;1.0000±0.0000
mh_de;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9733±0.0309;1.0000±0.0000
