metodo;Hospital_1;Hospital_2;Hospital_3;Hospital_4;Hospital_5;MEDIA
fedavg;NA;NA;NA;NA;NA;NA
fedprox;NA;NA;NA;NA;NA;NA
fedewa;NA;NA;NA;NA;NA;NA
fedag;NA;NA;NA;NA;NA;NA
mh_random_search;NA;NA;NA;NA;NA;NA
mh_de;NA;NA;NA;NA;NA;NA
mh_ga;NA;NA;NA;NA;NA;NA
mh_pso;NA;NA;NA;NA;NA;NA
mh_cro;NA;NA;NA;NA;NA;NA
