metodo;Hospital_1;Hospital_2;Hospital_3;Hospital_4;Hospital_5
fedavg;0.9977±0.0004;0.9992±0.0007;0.9989±0.0004;0.9983±0.0000;0.9977±0.0004
fedprox;0.9972±0.0011;0.9994±0.0008;0.9994±0.0004;0.9977±0.0014;0.9983±0.0007
fedewa;0.4460±0.3911;0.4460±0.3911;0.4460±0.3911;0.4458±0.3907;0.4455±0.3903
fedag;0.9972±0.0011;0.9994±0.0004;0.9989±0.0004;0.9992±0.0000;0.9983±0.0000
mh_random_search;0.9777±0.0286;0.9808±0.0266;0.9794±0.0286;0.9816±0.0248;0.9794±0.0280
mh_de;0.9952±0.0032;0.9955±0.0052;0.9960±0.0044;0.9969±0.0038;0.9952±0.0044
mh_ga;0.9977±0.0004;1.0000±0.0000;0.9992±0.0000;0.9983±0.0000;0.9980±0.0004
mh_pso;0.9977±0.0004;1.0000±0.0000;0.9994±0.0004;0.9994±0.0004;0.9983±0.0000
mh_cro;0.9551±0.0629;0.9554±0.0631;0.9562±0.0619;0.9605±0.0541;0.9559±0.0599
