ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,115.59,36.82
2,108.89,28.25
3,113.68,35.25
4,111.26,30.58
5,112.6,34.18
6,113.7,33.45
7,105.05,26.33
TOTAL,822.72,224.86
