ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,100.34,74.94
2,101.04,75.69
3,100.81,75.77
4,100.28,75.08
5,99.89,75.02
6,100.43,75.04
7,99.84,74.89
8,100.4,75.18
9,100.28,74.97
10,100.29,74.89
11,100.85,75.66
12,101.07,75.89
13,100.42,75.08
14,100.63,75.3
TOTAL,1432.65,1053.4
