ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,81.77,0.0
2,80.57,0.0
3,79.94,0.0
4,80.1,0.0
5,80.73,0.0
6,80.56,0.0
7,80.03,0.0
TOTAL,601.19,0.0
