ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,329.27,0.01
2,342.51,0.0
3,365.9,0.0
4,410.04,0.0
5,344.28,0.0
6,339.83,0.0
7,389.6,0.0
8,353.34,0.0
9,390.87,0.0
10,368.23,0.0
11,421.96,0.0
12,354.96,0.0
13,383.43,0.0
14,356.61,0.0
15,395.84,0.0
16,392.92,0.0
17,390.68,0.0
18,362.53,0.0
19,350.73,0.0
20,365.83,0.0
21,397.31,0.0
22,367.95,0.0
23,370.6,0.0
24,372.47,0.0
25,390.98,0.0
26,408.05,0.0
27,375.22,0.0
28,411.29,0.0
29,379.25,0.0
30,414.81,0.0
31,337.32,0.0
32,353.71,0.0
33,364.49,0.0
34,370.71,0.0
35,387.81,0.0
36,357.9,0.0
37,339.85,0.0
38,380.46,0.0
39,346.86,0.0
40,328.32,0.0
41,382.24,0.0
42,366.44,0.0
43,370.43,0.0
44,376.8,0.0
45,366.92,0.0
46,370.22,0.0
47,369.49,0.0
48,395.05,0.0
49,373.67,0.0
50,375.6,0.0
TOTAL,18646.06,0.01
