ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,45.44,0.0
2,51.39,0.0
3,43.8,0.0
4,56.27,0.01
5,61.55,0.0
6,43.55,0.0
7,56.19,0.0
TOTAL,384.15,0.01
