lr;local_epochs;status;final_val_acc;final_val_loss;best_val_acc;best_round;final_test_acc;final_test_loss;stability;log_file;raw_results_dir
0.02;5;ok;0.4583;1.2973;0.5232;4;0.4254;1.3182;inestable;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_211950\logs\lr_0p02_le_5.log;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_211950\raw_results\lr_0p02_le_5
0.05;5;ok;0.502;1.3148;0.5411;1;0.4783;1.327;inestable;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_211950\logs\lr_0p05_le_5.log;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_211950\raw_results\lr_0p05_le_5
