ronda,hospital,train_loss,train_acc,val_loss,val_acc,train_samples,val_samples,test_samples
1,Hospital_1,0.05413211375960837,0.9833559782608695,0.8717714786529541,0.9249146757679181,2944,586,398
1,Hospital_2,NA,NA,0.874905925989151,0.9183673469387755,NA,588,397
1,Hospital_3,NA,NA,0.8690552055835724,0.9233390119250426,NA,587,398
1,Hospital_4,0.4124596574887012,0.8992195453003053,0.8799374461174011,0.9049235993208828,2947,589,396
1,Hospital_5,0.1349358324854014,0.965704584040747,0.897461450099945,0.9080068143100511,2945,587,398
1,Hospital_6,0.07174235419370234,0.9799660441426146,0.8741103887557984,0.909710391822828,2945,587,398
1,Hospital_7,0.06476820519436961,0.9816576086956522,0.8818395614624024,0.9215017064846417,2944,586,399
1,Hospital_8,0.05815700647265961,0.982009504412763,0.8782187640666962,0.9081632653061225,2946,588,397
1,Hospital_9,NA,NA,0.8876398742198944,0.9028960817717206,NA,587,398
1,Hospital_10,0.2997330697544385,0.921928038017651,0.886652547121048,0.9115646258503401,2946,588,397
1,Hospital_11,NA,NA,0.8895357370376586,0.8943781942078365,NA,587,398
1,Hospital_12,NA,NA,0.8824925243854522,0.9066213921901528,NA,589,396
1,Hospital_13,0.059391896604843765,0.9833559782608695,0.8873280167579651,0.9078498293515358,2944,586,399
1,Hospital_14,0.05308832463197177,0.9806517311608961,0.8774711489677429,0.9098639455782312,2946,588,397
1,Hospital_15,NA,NA,0.8763718962669372,0.909710391822828,NA,587,398
2,Hospital_1,0.033942920682222946,0.9898097826086957,0.20675138533115386,0.9726962457337884,2944,586,398
2,Hospital_2,NA,NA,0.21213887631893158,0.967687074829932,NA,588,397
2,Hospital_3,0.040240605895329885,0.9867572156196944,0.19754010140895845,0.9761499148211243,2945,587,398
2,Hospital_4,0.10112725423338513,0.9755683746182559,0.22352496832609176,0.9609507640067911,2947,589,396
2,Hospital_5,0.10766426923995216,0.9626485568760611,0.24741192609071733,0.959114139693356,2945,587,398
2,Hospital_6,NA,NA,0.2072429448366165,0.9727427597955707,NA,587,398
2,Hospital_7,NA,NA,0.20789346396923064,0.9778156996587031,NA,586,399
2,Hospital_8,NA,NA,0.22405602484941484,0.9727891156462585,NA,588,397
2,Hospital_9,NA,NA,0.22465897649526595,0.969335604770017,NA,587,398
2,Hospital_10,NA,NA,0.224253848195076,0.9608843537414966,NA,588,397
2,Hospital_11,0.05770853038605613,0.9850594227504245,0.24416472762823105,0.9710391822827938,2945,587,398
2,Hospital_12,0.02145169163122773,0.9928741092636579,0.21421622931957246,0.967741935483871,2947,589,396
2,Hospital_13,0.045413469571782196,0.9853940217391305,0.22364782691001892,0.9709897610921502,2944,586,399
