ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,445.02,0.01
2,450.24,0.0
3,383.44,0.0
4,409.82,0.0
5,453.36,0.0
6,414.71,0.0
7,354.61,0.0
8,401.17,0.0
9,531.81,0.0
10,535.19,0.0
11,421.27,0.0
12,413.58,0.0
13,451.25,0.0
14,410.95,0.0
15,457.86,0.0
16,470.46,0.0
17,449.13,0.0
18,418.0,0.0
19,528.94,0.0
20,449.36,0.0
21,423.2,0.0
22,434.33,0.0
23,560.16,0.0
24,539.98,0.0
25,515.6,0.0
26,525.23,0.0
27,532.61,0.0
28,482.84,0.0
29,527.37,0.0
30,554.47,0.0
31,581.22,0.0
32,489.46,0.0
33,562.01,0.0
34,489.83,0.0
35,525.31,0.0
36,529.17,0.0
37,469.45,0.0
38,501.61,0.0
39,559.32,0.0
TOTAL,18689.11,0.01
