metodo;accuracy_mean;accuracy_std;seed_16;seed_999;seed_1935
fedavg;0.994417;0.002394;0.994472;0.991457;0.99732
fedprox;0.99397;0.00524;0.996985;0.998325;0.9866
fedewa;0.977778;0.018235;0.98258;0.99732;0.953434
fedag;0.990843;0.001271;0.989782;0.990117;0.99263
mh_random_search;0.993523;0.005993;0.998492;0.985092;0.996985
mh_de;0.995087;0.003879;0.997487;0.998157;0.989615
mh_ga;0.993356;0.006202;0.99799;0.997487;0.98459
mh_pso;0.991792;0.006936;0.982077;0.997822;0.995477
mh_cro;0.993914;0.006481;0.998157;0.998827;0.984757
