metodo;balanced_accuracy_mean;balanced_accuracy_std;f1score_mean;f1score_std;accuracy_mean;accuracy_std;auc_mean;auc_std;kappa_mean;kappa_std;minima_sensibilidad_mean;minima_sensibilidad_std;seed_16_balanced_accuracy;seed_16_f1score;seed_16_accuracy;seed_16_auc;seed_16_kappa;seed_16_minima_sensibilidad;seed_999_balanced_accuracy;seed_999_f1score;seed_999_accuracy;seed_999_auc;seed_999_kappa;seed_999_minima_sensibilidad;seed_1935_balanced_accuracy;seed_1935_f1score;seed_1935_accuracy;seed_1935_auc;seed_1935_kappa;seed_1935_minima_sensibilidad
fedavg;0.994507;0.002351;0.994411;0.002465;0.994417;0.002394;0.999891;5.7e-05;0.993298;0.002873;0.97528;0.008526;0.994556;0.994548;0.994472;0.999851;0.993365;0.971287;0.991602;0.991327;0.991457;0.999851;0.989747;0.967423;0.997361;0.99736;0.99732;0.999971;0.996783;0.987129
fedprox;0.994064;0.005145;0.993903;0.005378;0.99397;0.00524;0.999825;0.000148;0.992763;0.006289;0.9753;0.020553;0.997012;0.997021;0.996985;0.999873;0.996381;0.985149;0.998352;0.998352;0.998325;0.999977;0.997989;0.994059;0.986828;0.986337;0.9866;0.999624;0.983918;0.946693
fedewa;0.976804;0.019742;0.977145;0.019026;0.977778;0.018235;0.999561;0.000439;0.973312;0.021908;0.895763;0.095356;0.98288;0.982406;0.98258;0.99978;0.979092;0.927937;0.997366;0.997366;0.99732;0.999955;0.996783;0.99309;0.950167;0.951663;0.953434;0.998948;0.944061;0.766262
fedag;0.990998;0.001246;0.990733;0.001408;0.990843;0.001271;0.999855;8.5e-05;0.989009;0.001525;0.96411;0.009275;0.989957;0.989574;0.989782;0.999895;0.987737;0.957552;0.990286;0.98991;0.990117;0.999933;0.988139;0.957552;0.99275;0.992716;0.99263;0.999737;0.991153;0.977228
mh_random_search;0.993631;0.005889;0.993464;0.006123;0.993523;0.005993;0.999908;7.6e-05;0.992227;0.007193;0.974969;0.019636;0.998516;0.998516;0.998492;0.999959;0.99819;0.993069;0.985347;0.984848;0.985092;0.999801;0.982108;0.94768;0.997031;0.997029;0.996985;0.999965;0.996381;0.984158
mh_de;0.994981;0.004078;0.995085;0.003931;0.995087;0.003879;0.999957;2e-06;0.994102;0.004657;0.983739;0.011118;0.99753;0.99753;0.997487;0.999959;0.996984;0.992103;0.998186;0.998186;0.998157;0.999959;0.997788;0.991089;0.989227;0.989539;0.989615;0.999954;0.987532;0.968026
mh_ga;0.993464;0.006098;0.993294;0.006319;0.993356;0.006202;0.999849;0.000122;0.992025;0.007443;0.976288;0.019531;0.998021;0.99802;0.99799;0.999933;0.997587;0.990099;0.997527;0.997498;0.997487;0.999938;0.996984;0.990099;0.984845;0.984363;0.98459;0.999677;0.981505;0.948667
mh_pso;0.991931;0.006811;0.991757;0.00705;0.991792;0.006936;0.999849;0.000133;0.990149;0.008324;0.966402;0.023796;0.982392;0.981877;0.982077;0.999661;0.978489;0.93386;0.997856;0.997856;0.997822;0.999943;0.997386;0.990099;0.995546;0.99554;0.995477;0.999944;0.994571;0.975248
mh_cro;0.993837;0.006623;0.993912;0.006517;0.993914;0.006481;0.999862;0.000132;0.992694;0.00778;0.975248;0.026653;0.998186;0.998186;0.998157;0.999935;0.997788;0.992079;0.998846;0.998846;0.998827;0.999974;0.998593;0.99604;0.984478;0.984704;0.984757;0.999677;0.981701;0.937624
