metodo;Hospital_1;Hospital_2;Hospital_3;Hospital_4;Hospital_5;Hospital_6;Hospital_7;Hospital_8;Hospital_9;Hospital_10;Hospital_11;Hospital_12;Hospital_13;Hospital_14;Hospital_15
fedavg;0.9901±0.0028;0.9968±0.0018;0.9841±0.0224;0.9971±0.0016;1.0000±0.0000;0.9903±0.0086;1.0000±0.0000;0.9862±0.0043;0.9853±0.0055;0.9995±0.0007;0.9921±0.0046;0.9969±0.0043;0.9928±0.0051;0.9877±0.0000;0.9956±0.0051
fedprox;0.9901±0.0028;0.9955±0.0037;0.9802±0.0281;0.9983±0.0000;1.0000±0.0000;0.9867±0.0164;0.9988±0.0017;0.9882±0.0074;0.9897±0.0042;0.9984±0.0000;0.9931±0.0076;0.9893±0.0151;0.9964±0.0025;1.0000±0.0000;0.9931±0.0086
fedewa;0.9744±0.0363;0.9812±0.0082;0.9722±0.0312;0.9960±0.0032;0.9439±0.0793;0.9709±0.0178;0.9894±0.0057;0.9632±0.0374;0.9808±0.0150;0.9473±0.0711;0.9872±0.0084;0.9862±0.0195;0.9838±0.0132;0.9877±0.0000;0.9893±0.0081
fedag;0.9961±0.0028;0.9922±0.0042;0.9563±0.0224;0.9971±0.0016;1.0000±0.0000;0.9770±0.0045;0.9977±0.0017;0.9869±0.0034;0.9853±0.0055;0.9984±0.0013;0.9887±0.0042;0.9862±0.0099;0.9910±0.0067;0.9877±0.0000;0.9890±0.0060
mh_random_search;0.9882±0.0000;0.9935±0.0064;0.9802±0.0281;0.9977±0.0008;1.0000±0.0000;0.9879±0.0171;0.9965±0.0050;0.9908±0.0052;0.9867±0.0072;0.9989±0.0015;0.9941±0.0064;0.9893±0.0151;0.9892±0.0076;0.9959±0.0058;0.9926±0.0093
mh_de;0.9901±0.0028;0.9961±0.0028;1.0000±0.0000;0.9983±0.0000;0.9907±0.0132;0.9988±0.0017;0.9988±0.0017;0.9849±0.0146;0.9867±0.0096;0.9926±0.0093;0.9980±0.0018;0.9985±0.0022;0.9946±0.0076;0.9959±0.0058;0.9978±0.0010
mh_ga;0.9862±0.0028;0.9974±0.0009;0.9802±0.0281;0.9977±0.0008;1.0000±0.0000;0.9891±0.0154;0.9988±0.0017;0.9836±0.0107;0.9867±0.0063;1.0000±0.0000;0.9921±0.0101;0.9878±0.0173;0.9946±0.0076;0.9959±0.0058;0.9926±0.0077
mh_pso;0.9921±0.0028;0.9903±0.0110;0.9762±0.0337;0.9983±0.0000;0.9990±0.0015;0.9855±0.0206;0.9941±0.0083;0.9869±0.0076;0.9867±0.0063;0.9989±0.0007;0.9931±0.0077;0.9878±0.0173;0.9946±0.0076;0.9918±0.0058;0.9882±0.0156
mh_cro;0.9842±0.0139;0.9981±0.0000;1.0000±0.0000;0.9960±0.0032;0.9907±0.0132;1.0000±0.0000;0.9977±0.0033;0.9816±0.0205;0.9823±0.0157;0.9926±0.0082;0.9941±0.0073;0.9985±0.0022;0.9892±0.0153;0.9959±0.0058;0.9983±0.0012
