metodo;hospital;AbdomenCT;BreastMRI;ChestCT;CXR;Hand;HeadCT
fedavg;Hospital_1;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000;0.9786±0.0060;1.0000±0.0000
fedavg;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9965±0.0012;NA;0.9892±0.0152
fedavg;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9583±0.0589
fedavg;Hospital_4;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9821±0.0101;1.0000±0.0000
fedavg;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_6;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9795±0.0181
fedavg;Hospital_7;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_8;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9814±0.0057;1.0000±0.0000
fedavg;Hospital_9;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9747±0.0094;1.0000±0.0000
fedavg;Hospital_10;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9985±0.0021;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_11;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9731±0.0238;0.9880±0.0139
fedavg;Hospital_12;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9959±0.0058
fedavg;Hospital_13;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9869±0.0092;NA
fedavg;Hospital_14;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9851±0.0000;1.0000±0.0000
fedavg;Hospital_15;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9913±0.0000;1.0000±0.0000;0.9868±0.0186
fedprox;Hospital_1;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000;0.9786±0.0060;1.0000±0.0000
fedprox;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9947±0.0037;NA;0.9892±0.0152
fedprox;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9479±0.0737
fedprox;Hospital_4;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9892±0.0000;1.0000±0.0000
fedprox;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_6;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9974±0.0037;1.0000±0.0000;0.9744±0.0310
fedprox;Hospital_7;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9948±0.0074
