ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,17.95,0.01
2,17.06,0.01
3,16.84,0.01
4,17.01,0.01
5,17.12,0.01
6,16.9,0.01
7,17.21,0.01
8,17.25,0.01
9,17.12,0.01
10,17.01,0.01
11,16.93,0.01
12,16.95,0.01
13,16.9,0.01
14,16.88,0.01
15,17.05,0.02
16,17.19,0.01
TOTAL,299.99,0.17
