ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,25.64,0.01
2,25.2,0.01
3,25.38,0.01
4,25.19,0.01
5,25.2,0.01
6,25.24,0.01
7,25.32,0.01
8,25.26,0.01
9,25.39,0.01
10,25.36,0.01
11,25.22,0.01
12,25.47,0.01
13,25.24,0.01
TOTAL,356.35,0.13
