metodo;accuracy_mean;accuracy_std;seed_16;seed_999;seed_1935
fedavg;0.977778;0.002764;0.973984;0.980488;0.978862
fedprox;0.993496;0.003513;0.988618;0.995122;0.996748
fedewa;0.983198;0.007312;0.977236;0.978862;0.993496
fedag;0.969106;0.03335;0.993496;0.99187;0.921951
mh_random_search;0.991328;0.003341;0.995122;0.99187;0.986992
mh_de;0.995122;0.001328;0.995122;0.996748;0.993496
mh_ga;0.996206;0.000767;0.996748;0.996748;0.995122
mh_pso;0.995664;0.000767;0.995122;0.996748;0.995122
mh_cro;0.99729;0.000767;0.998374;0.996748;0.996748
