ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,78.08,0.0
2,80.65,0.01
3,79.86,0.0
4,78.73,0.0
5,79.7,0.0
6,80.35,0.0
7,78.77,0.01
8,79.4,0.0
9,80.26,0.0
TOTAL,751.6,0.02
