ronda,hospital,train_loss,train_acc,val_loss,val_acc,train_samples,val_samples,test_samples
1,Hospital_1,0.05008912160992622,0.9886455798864558,0.2274150662124157,0.9180327868852459,1233,244,169
1,Hospital_2,NA,NA,0.947090357542038,0.593421052631579,NA,760,513
1,Hospital_3,NA,NA,1.117897868156433,0.39655172413793105,NA,116,84
1,Hospital_4,0.0063092109613695786,0.9981571066574522,0.3484549767204693,0.9988452655889145,4341,866,584
1,Hospital_5,0.019469017947190685,0.994052676295667,0.28753860481083393,0.9593147751605996,2354,467,321
1,Hospital_6,0.03855276294052601,0.9891142998515586,1.2492438554763794,0.3523573200992556,2021,403,275
1,Hospital_7,0.025438020882361075,0.9938006676204101,1.1851006299257278,0.6794258373205742,2097,418,284
1,Hospital_8,0.03796890298835933,0.9893758300132802,0.11118712152043979,0.9640479360852197,3765,751,507
1,Hospital_9,NA,NA,0.17624486796557903,0.9723926380368099,NA,326,226
1,Hospital_10,0.01152103373189331,0.9983043662568886,0.42413838021457195,0.8418259023354565,4718,942,633
1,Hospital_11,NA,NA,0.8191211959347129,0.6954365079365079,NA,1008,679
1,Hospital_12,NA,NA,1.5327516396840413,0.2984126984126984,NA,315,218
1,Hospital_13,0.026017071509903126,0.9925980754996299,0.14634861797094345,0.9888059701492538,1351,268,185
1,Hospital_14,0.20471785366535186,0.9288194444444444,0.2057253122329712,0.9035087719298246,576,114,81
1,Hospital_15,NA,NA,1.1607300440470378,0.631578947368421,NA,1805,1211
2,Hospital_1,0.05654560774564743,0.9805352798053528,1.7009667754173279,0.1680327868852459,1233,244,169
2,Hospital_2,0.005916987638920545,0.9981632117554448,0.21595845145202475,0.8736842105263158,3811,760,513
2,Hospital_3,0.04976719915866852,0.988155668358714,0.22851906716823578,0.9224137931034483,591,116,84
2,Hospital_4,0.0017862814737086678,0.9997696383321816,0.6765498008046832,0.8233256351039261,4341,866,584
2,Hospital_5,NA,NA,1.3833584487438202,0.1948608137044968,NA,467,321
2,Hospital_6,0.02731650014175102,0.9930727362691737,0.15471704676747322,0.9702233250620348,2021,403,275
2,Hospital_7,0.026943756048293674,0.9904625655698617,0.7205084972083569,0.49521531100478466,2097,418,284
2,Hospital_8,0.027285407250747084,0.9920318725099602,1.8275551994641621,0.06790945406125166,3765,751,507
2,Hospital_9,NA,NA,1.4648475249608357,0.3098159509202454,NA,326,226
2,Hospital_10,NA,NA,0.9915522305232116,0.4118895966029724,NA,942,633
2,Hospital_11,NA,NA,0.5352225676178932,0.8402777777777778,NA,1008,679
2,Hospital_12,0.03127839212090923,0.9949653870358716,0.2910224696000417,0.8920634920634921,1589,315,218
2,Hospital_13,NA,NA,1.5536408424377441,0.3880597014925373,NA,268,185
2,Hospital_14,NA,NA,1.7336331605911255,0.12280701754385964,NA,114,81
2,Hospital_15,0.009607351009576569,0.9982300884955753,0.8021778697768848,0.503601108033241,9040,1805,1211
3,Hospital_1,NA,NA,0.07959218695759773,0.9631147540983607,NA,244,169
3,Hospital_2,0.0028987420004947732,0.9997376016793492,0.13734016132851443,0.9539473684210527,3811,760,513
3,Hospital_3,NA,NA,0.13880066573619843,0.9482758620689655,NA,116,84
3,Hospital_4,NA,NA,0.09424476431948799,0.9953810623556582,NA,866,584
3,Hospital_5,0.007590286249883081,0.9978759558198811,0.06014101509936154,0.9935760171306209,2354,467,321
3,Hospital_6,0.009077178401639685,0.9980207817911925,0.1384568801149726,0.9454094292803971,2021,403,275
3,Hospital_7,0.014555343659594655,0.9933237958989032,0.04733082465827465,0.9904306220095693,2097,418,284
3,Hospital_8,0.023184562008827923,0.9928286852589642,0.0533457746108373,0.9826897470039947,3765,751,507
3,Hospital_9,0.023223840846465185,0.9963503649635036,0.066279420008262,0.9846625766871165,1644,326,226
3,Hospital_10,0.006060272584216216,0.9987282746926663,0.10227019141893834,0.975583864118896,4718,942,633
3,Hospital_11,NA,NA,0.12289721332490444,0.9751984126984127,NA,1008,679
3,Hospital_12,0.016090607091497917,0.9968533668974198,0.16438441971937814,0.926984126984127,1589,315,218
3,Hospital_13,NA,NA,0.0745181053255995,0.9813432835820896,NA,268,185
3,Hospital_14,NA,NA,0.029403982684016228,0.9912280701754386,NA,114,81
3,Hospital_15,0.008202665755164509,0.9981194690265487,0.07595369027306637,0.9761772853185595,9040,1805,1211
4,Hospital_1,NA,NA,0.09565371833741665,0.9713114754098361,NA,244,169
4,Hospital_2,0.0017612654424738138,0.9997376016793492,0.016142841273297865,0.9947368421052631,3811,760,513
4,Hospital_3,0.013659508898854256,0.9949238578680203,0.03382221609354019,0.9827586206896551,591,116,84
4,Hospital_4,NA,NA,0.03964096839938845,0.9919168591224018,NA,866,584
4,Hospital_5,0.00558124039028036,0.9983007646559049,0.03873492404818535,0.9957173447537473,2354,467,321
4,Hospital_6,0.005122560425661504,0.9990103908955963,0.041133758844807744,0.9776674937965261,2021,403,275
4,Hospital_7,NA,NA,0.019056431017816067,0.9976076555023924,NA,418,284
4,Hospital_8,0.010148178654101987,0.99734395750332,0.1072880644351244,0.9613848202396804,3765,751,507
4,Hospital_9,NA,NA,0.06151984414706627,0.9723926380368099,NA,326,226
4,Hospital_10,0.003656901715707185,0.9991521831284442,0.03418849875743035,0.9968152866242038,4718,942,633
4,Hospital_11,NA,NA,0.05933768243994564,0.9791666666666666,NA,1008,679
4,Hospital_12,NA,NA,0.06976404289404552,0.9523809523809523,NA,315,218
4,Hospital_13,0.003641450301405381,0.9985196150999259,0.06559361579517524,0.9701492537313433,1351,268,185
4,Hospital_14,0.011233279947191477,0.9982638888888888,0.07933046668767929,0.9824561403508771,576,114,81
4,Hospital_15,0.005487273025005059,0.9987831858407079,0.0352463177870959,0.9811634349030471,9040,1805,1211
5,Hospital_1,NA,NA,0.06511690141633153,0.9754098360655737,NA,244,169
5,Hospital_2,0.001118750832392834,1.0,0.009689030897182723,0.9960526315789474,3811,760,513
5,Hospital_3,NA,NA,0.01866157352924347,0.9913793103448276,NA,116,84
5,Hospital_4,NA,NA,0.030237023386039903,0.9919168591224018,NA,866,584
5,Hospital_5,0.0036471012924601766,0.9991503823279524,0.02748941141180694,0.9957173447537473,2354,467,321
5,Hospital_6,0.0026874195573327597,0.9995051954477981,0.03003322600852698,0.9875930521091811,2021,403,275
5,Hospital_7,0.006532860118621851,0.9990462565569862,0.00873122166376561,0.9976076555023924,2097,418,284
5,Hospital_8,NA,NA,0.08045605973651011,0.966711051930759,NA,751,507
