lr;local_epochs;status;final_val_acc;final_val_loss;best_val_acc;best_round;final_test_acc;final_test_loss;stability;log_file;raw_results_dir
0.001;5;ok;0.4132;1.3653;0.4952;3;0.3866;1.3878;inestable;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_194723\logs\lr_0p001_le_5.log;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_194723\raw_results\lr_0p001_le_5
0.005;5;ok;0.4382;1.2645;0.5084;1;0.3993;1.2901;inestable;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_194723\logs\lr_0p005_le_5.log;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_194723\raw_results\lr_0p005_le_5
0.01;5;ok;0.4957;1.2917;0.5025;4;0.4656;1.3045;bastante estable;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_194723\logs\lr_0p01_le_5.log;C:\Users\maria\Desktop\UNI\TGF\TFG\escenarios\non_iid\scripts_non_iid\grid_sweeps\sweep_20260416_194723\raw_results\lr_0p01_le_5
