ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,88.01,14.34
2,89.38,15.5
3,92.35,19.26
4,93.79,19.73
5,88.59,14.19
6,92.98,19.02
TOTAL,590.04,102.04
