ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,100.4,75.09
2,99.61,74.83
3,101.16,75.89
4,100.93,75.54
5,100.68,75.4
6,100.06,75.26
7,99.85,74.71
8,99.74,74.54
9,99.89,74.64
10,100.02,74.73
11,100.16,74.92
12,99.41,74.65
TOTAL,1228.69,900.2
