lambda;gamma;val_acc
0.001;0.001;0.8824269837628966
0.001;0.01;0.9261968243877252
0.001;0.1;0.7609690098422781
0.01;0.001;0.9104408878247107
0.01;0.01;0.8774501253435337
0.01;0.1;0.8612770418818639
0.1;0.001;0.8488482335868774
0.1;0.01;0.8118411850869058
0.1;0.1;0.8633823302055241
