lambda;gamma;val_acc
0.0001;0.005;0.964719906979439
0.0001;0.01;0.8058630580842581
0.0001;0.02;0.8333886590458016
0.0005;0.005;0.8819112612028727
0.0005;0.01;0.839946538003358
0.0005;0.02;0.810966001451234
0.001;0.005;0.8936359291155591
0.001;0.01;0.9426154990486646
0.001;0.02;0.5979912052282541
0.005;0.005;0.8047173054808352
0.005;0.01;0.8591051187182783
0.005;0.02;0.5435982015475624
0.01;0.005;0.8519318435664627
0.01;0.01;0.5558817254409171
0.01;0.02;0.760452402794001
