metodo;accuracy_mean;accuracy_std;seed_16;seed_999;seed_1935
fedavg;0.996357;0.001467;0.997553;0.994291;0.997227
fedprox;0.997227;0.001184;0.998369;0.995596;0.997717
fedewa;0.868374;0.120271;0.707878;0.99739;0.899853
fedag;0.445278;0.390979;0.998206;0.168814;0.168814
mh_random_search;0.988854;0.010837;0.995433;0.997553;0.973577
mh_de;0.996303;0.00128;0.996575;0.994618;0.997717
mh_ga;0.996792;0.001341;0.998532;0.996575;0.99527
mh_pso;0.997662;0.000538;0.997064;0.997553;0.998369
mh_cro;0.996466;0.001768;0.997717;0.997717;0.993965
