metodo;seed;Hospital_1;Hospital_2;Hospital_3;Hospital_4;Hospital_5;Hospital_6;Hospital_7;Hospital_8;Hospital_9;Hospital_10;Hospital_11;Hospital_12;Hospital_13;Hospital_14;Hospital_15;Hospital_16;Hospital_17;Hospital_18;Hospital_19;Hospital_20;Hospital_21;Hospital_22;Hospital_23;Hospital_24;Hospital_25;Hospital_26;Hospital_27;Hospital_28;Hospital_29;Hospital_30;Hospital_31;Hospital_32;Hospital_33;Hospital_34;Hospital_35;Hospital_36;Hospital_37;Hospital_38;Hospital_39;Hospital_40;Hospital_41;Hospital_42;Hospital_43;Hospital_44;Hospital_45;Hospital_46;Hospital_47;Hospital_48;Hospital_49;Hospital_50;MEDIA
mh_de;1935;0.9963;1.0000;0.9947;1.0000;0.9971;0.9973;0.9933;1.0000;0.9990;0.9986;1.0000;0.9990;0.9990;0.9963;0.9965;0.9966;0.9990;0.9986;0.9990;0.9990;1.0000;1.0000;0.9947;0.9953;0.9894;0.9993;0.9973;0.9963;0.9964;0.9947;0.9993;1.0000;0.9965;0.9966;0.9985;0.9993;0.9971;1.0000;0.9993;0.9944;0.9965;0.9973;0.9947;0.9985;1.0000;0.9966;1.0000;0.9974;1.0000;0.9990;0.9977
mh_ga;16;0.9977;1.0000;0.9966;1.0000;0.9981;0.9983;0.9957;1.0000;0.9993;0.9990;1.0000;0.9993;0.9993;0.9977;0.9978;0.9978;0.9993;0.9990;0.9993;0.9994;1.0000;1.0000;0.9966;0.9970;0.9932;0.9995;0.9983;0.9977;0.9977;0.9966;0.9995;1.0000;0.9978;0.9978;0.9990;0.9995;0.9981;1.0000;0.9995;0.9964;0.9978;0.9983;0.9966;0.9990;1.0000;0.9978;1.0000;0.9983;1.0000;0.9994;0.9985
mh_ga;999;0.9960;1.0000;0.9942;1.0000;0.9913;0.9970;0.9899;1.0000;0.9970;0.9957;1.0000;0.9970;0.9970;0.9960;0.9962;0.9950;0.9970;0.9957;0.9970;0.9971;1.0000;1.0000;0.9942;0.9930;0.9884;0.9978;0.9970;0.9960;0.9960;0.9942;0.9978;1.0000;0.9962;0.9949;0.9954;0.9978;0.9913;1.0000;0.9978;0.9939;0.9948;0.9960;0.9942;0.9954;1.0000;0.9949;1.0000;0.9971;1.0000;0.9971;0.9966
mh_ga;1935;0.9937;1.0000;0.9908;1.0000;0.9904;0.9953;0.9860;1.0000;0.9967;0.9952;1.0000;0.9967;0.9967;0.9937;0.9939;0.9930;0.9967;0.9952;0.9967;0.9968;1.0000;1.0000;0.9909;0.9904;0.9817;0.9976;0.9953;0.9937;0.9937;0.9908;0.9976;1.0000;0.9939;0.9930;0.9949;0.9975;0.9904;1.0000;0.9975;0.9904;0.9929;0.9944;0.9909;0.9949;1.0000;0.9930;1.0000;0.9954;1.0000;0.9968;0.9953
mh_pso;16;0.9947;0.9983;0.9947;0.9975;0.9981;0.9960;0.9937;0.9975;0.9977;0.9990;0.9988;0.9977;0.9977;0.9947;0.9965;0.9969;0.9977;0.9990;0.9977;0.9994;0.9983;0.9975;0.9947;0.9940;0.9894;0.9995;0.9960;0.9947;0.9947;0.9947;0.9995;0.9975;0.9965;0.9969;0.9965;0.9983;0.9981;1.0000;0.9983;0.9919;0.9956;0.9975;0.9947;0.9965;0.9975;0.9969;0.9983;0.9974;0.9983;0.9994;0.9971
mh_pso;999;0.9957;1.0000;0.9937;1.0000;0.9981;0.9968;0.9928;1.0000;0.9993;0.9990;1.0000;0.9993;0.9993;0.9957;0.9958;0.9964;0.9993;0.9990;0.9993;0.9994;1.0000;1.0000;0.9938;0.9950;0.9875;0.9995;0.9968;0.9957;0.9957;0.9937;0.9995;1.0000;0.9958;0.9964;0.9990;0.9995;0.9981;1.0000;0.9995;0.9934;0.9963;0.9971;0.9938;0.9990;1.0000;0.9964;1.0000;0.9969;1.0000;0.9994;0.9976
mh_pso;1935;0.9977;1.0000;0.9966;1.0000;0.9971;0.9983;0.9952;1.0000;0.9990;0.9986;1.0000;0.9990;0.9990;0.9977;0.9978;0.9976;0.9990;0.9986;0.9990;0.9990;1.0000;1.0000;0.9966;0.9967;0.9932;0.9993;0.9983;0.9977;0.9977;0.9966;0.9993;1.0000;0.9978;0.9976;0.9985;0.9993;0.9971;1.0000;0.9993;0.9964;0.9975;0.9981;0.9966;0.9985;1.0000;0.9976;1.0000;0.9983;1.0000;0.9990;0.9984
mh_cro;16;0.9960;1.0000;0.9942;1.0000;0.9981;0.9970;0.9933;1.0000;0.9993;0.9990;1.0000;0.9993;0.9993;0.9960;0.9962;0.9966;0.9993;0.9990;0.9993;0.9994;1.0000;1.0000;0.9942;0.9953;0.9884;0.9995;0.9970;0.9960;0.9960;0.9942;0.9995;1.0000;0.9962;0.9966;0.9990;0.9995;0.9981;1.0000;0.9995;0.9939;0.9965;0.9973;0.9942;0.9990;1.0000;0.9966;1.0000;0.9971;1.0000;0.9994;0.9977
mh_cro;999;0.9960;1.0000;0.9942;1.0000;0.9981;0.9970;0.9933;1.0000;0.9993;0.9990;1.0000;0.9993;0.9993;0.9960;0.9962;0.9966;0.9993;0.9990;0.9993;0.9994;1.0000;1.0000;0.9942;0.9953;0.9884;0.9995;0.9970;0.9960;0.9960;0.9942;0.9995;1.0000;0.9962;0.9966;0.9990;0.9995;0.9981;1.0000;0.9995;0.9939;0.9965;0.9973;0.9942;0.9990;1.0000;0.9966;1.0000;0.9971;1.0000;0.9994;0.9977
mh_cro;1935;0.9887;0.9997;0.9836;1.0000;0.9981;0.9913;0.9827;1.0000;0.9993;0.9990;0.9998;0.9990;0.9993;0.9887;0.9888;0.9913;0.9990;0.9990;0.9993;0.9994;0.9997;1.0000;0.9837;0.9880;0.9672;0.9993;0.9913;0.9887;0.9887;0.9836;0.9993;1.0000;0.9888;0.9911;0.9990;0.9995;0.9981;0.9995;0.9995;0.9827;0.9911;0.9929;0.9837;0.9990;0.9995;0.9911;0.9997;0.9916;0.9997;0.9994;0.9940
