metodo;tiempo_total_mean;tiempo_total_std;tiempo_agg_mean;tiempo_agg_std
fedavg;1577.09;281.77;0.33;0.04
fedprox;1739.36;451.77;0.05;0.0
fedewa;17334.57;1885.25;0.01;0.0
fedag;1535.5;568.78;0.23;0.1
mh_random_search;1688.79;340.32;86.27;27.41
mh_de;3962.72;2859.81;2396.69;1864.28
mh_ga;4982.8;1077.32;3211.15;680.02
mh_pso;4780.82;868.48;2866.05;553.46
mh_cro;2610.49;447.65;1082.47;144.74
