metodo;Hospital_1;Hospital_2;Hospital_3;Hospital_4;Hospital_5;Hospital_6;Hospital_7;Hospital_8;Hospital_9;Hospital_10;Hospital_11;Hospital_12;Hospital_13;Hospital_14;Hospital_15;Hospital_16;Hospital_17;Hospital_18;Hospital_19;Hospital_20;Hospital_21;Hospital_22;Hospital_23;Hospital_24;Hospital_25;Hospital_26;Hospital_27;Hospital_28;Hospital_29;Hospital_30;Hospital_31;Hospital_32;Hospital_33;Hospital_34;Hospital_35;Hospital_36;Hospital_37;Hospital_38;Hospital_39;Hospital_40;Hospital_41;Hospital_42;Hospital_43;Hospital_44;Hospital_45;Hospital_46;Hospital_47;Hospital_48;Hospital_49;Hospital_50
fedavg;1.0000±0.0000;0.9891±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9952±0.0068;0.9857±0.0000;0.9904±0.0034;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9890±0.0039;0.9784±0.0122;0.9937±0.0000;1.0000±0.0000;0.9967±0.0012;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9975±0.0035;1.0000±0.0000;1.0000±0.0000;0.9896±0.0085;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9883±0.0165;1.0000±0.0000;1.0000±0.0000;0.9771±0.0106;0.9939±0.0086;1.0000±0.0000;1.0000±0.0000;0.9962±0.0000;0.9919±0.0082;0.9976±0.0034;1.0000±0.0000;0.9652±0.0070;1.0000±0.0000;0.9908±0.0000;1.0000±0.0000
fedprox;1.0000±0.0000;0.9928±0.0026;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9985±0.0021;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9857±0.0000;0.9904±0.0034;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9978±0.0031;0.9917±0.0067;0.9870±0.0184;0.9937±0.0000;1.0000±0.0000;0.9967±0.0012;0.9981±0.0027;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9931±0.0049;0.9972±0.0039;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9942±0.0083;1.0000±0.0000;1.0000±0.0000;0.9833±0.0059;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9962±0.0031;0.9984±0.0023;1.0000±0.0000;1.0000±0.0000;0.9701±0.0000;1.0000±0.0000;0.9939±0.0043;1.0000±0.0000
fedewa;0.8909±0.0812;0.9746±0.0179;0.9060±0.0796;0.6603±0.2610;0.7692±0.2363;0.9912±0.0095;0.9053±0.0857;0.8788±0.1405;0.6763±0.2725;0.7524±0.2202;0.9760±0.0090;0.9286±0.0505;0.9611±0.0437;0.7539±0.2241;0.9643±0.0327;0.6504±0.3164;0.9783±0.0307;0.7867±0.1893;0.9697±0.0312;0.7229±0.2559;0.9810±0.0137;0.7917±0.1701;0.9010±0.0843;0.9215±0.0712;0.8678±0.1184;0.8960±0.1183;0.9778±0.0314;0.9358±0.0581;0.9141±0.0681;0.8235±0.1732;0.9549±0.0491;0.7778±0.2079;0.9487±0.0725;0.9538±0.0499;0.7689±0.1951;0.9181±0.0677;0.7586±0.2079;0.8000±0.2318;0.9437±0.0405;0.8364±0.1416;0.7642±0.1944;0.6948±0.3577;0.8631±0.1301;0.8454±0.1325;0.9738±0.0236;0.7234±0.3235;0.9453±0.0186;0.7376±0.2483;0.9817±0.0130;0.7523±0.2457
fedag;0.3510±0.4589;0.4185±0.4074;0.3378±0.4682;0.3462±0.4623;0.4017±0.4231;0.3333±0.4714;0.4863±0.3632;0.3636±0.4500;0.3527±0.4577;0.3667±0.4377;0.3405±0.4612;0.4524±0.3872;0.3444±0.4635;0.3396±0.4670;0.8853±0.0811;0.3442±0.4637;0.6087±0.2767;0.3378±0.4683;0.3361±0.4636;0.3420±0.4653;0.3397±0.4625;0.5833±0.2946;0.6543±0.2427;0.7701±0.1626;0.3831±0.4362;0.3333±0.4714;0.3333±0.4714;0.3481±0.4609;0.7475±0.1786;0.3725±0.4437;0.3403±0.4665;0.3333±0.4714;0.5812±0.2961;0.3372±0.4687;0.4924±0.3589;0.3684±0.4466;0.5074±0.3483;0.3667±0.4478;0.3417±0.4567;0.6242±0.2657;0.6281±0.2630;0.3333±0.4714;0.4043±0.4212;0.4300±0.4031;0.3714±0.4445;0.3381±0.4681;0.3234±0.4573;0.3759±0.4413;0.8073±0.1297;0.3456±0.4628
mh_random_search;0.9971±0.0042;0.9891±0.0044;0.9843±0.0084;0.9359±0.0907;0.9886±0.0161;0.9971±0.0021;0.9945±0.0077;1.0000±0.0000;0.9565±0.0313;0.9476±0.0337;0.9952±0.0034;0.9881±0.0168;1.0000±0.0000;0.9720±0.0264;1.0000±0.0000;0.9764±0.0295;1.0000±0.0000;0.9844±0.0137;1.0000±0.0000;0.9957±0.0061;0.9979±0.0030;0.9861±0.0196;0.9926±0.0105;0.9885±0.0124;0.9904±0.0072;0.9953±0.0033;1.0000±0.0000;0.9926±0.0000;0.9747±0.0357;1.0000±0.0000;1.0000±0.0000;0.9806±0.0275;1.0000±0.0000;0.9981±0.0027;0.9773±0.0321;0.9883±0.0083;0.9819±0.0255;0.9917±0.0118;0.9833±0.0059;0.9697±0.0309;0.9728±0.0338;1.0000±0.0000;0.9899±0.0090;0.9807±0.0273;1.0000±0.0000;1.0000±0.0000;0.9701±0.0000;1.0000±0.0000;1.0000±0.0000;0.9878±0.0173
mh_de;1.0000±0.0000;0.9909±0.0026;1.0000±0.0000;0.9936±0.0091;1.0000±0.0000;0.9985±0.0021;0.9982±0.0026;1.0000±0.0000;0.9855±0.0205;0.9810±0.0067;0.9904±0.0034;0.9881±0.0168;1.0000±0.0000;0.9938±0.0088;1.0000±0.0000;0.9982±0.0026;1.0000±0.0000;0.9956±0.0063;0.9917±0.0000;0.9913±0.0122;0.9937±0.0000;1.0000±0.0000;0.9959±0.0023;0.9943±0.0047;0.9981±0.0027;0.9976±0.0033;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9965±0.0049;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9883±0.0165;1.0000±0.0000;1.0000±0.0000;0.9833±0.0029;1.0000±0.0000;0.9977±0.0032;1.0000±0.0000;0.9949±0.0036;0.9952±0.0039;1.0000±0.0000;1.0000±0.0000;0.9751±0.0070;1.0000±0.0000;0.9969±0.0043;1.0000±0.0000
mh_ga;1.0000±0.0000;0.9837±0.0077;0.9978±0.0032;1.0000±0.0000;1.0000±0.0000;0.9971±0.0021;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9857±0.0000;0.9904±0.0034;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9972±0.0039;0.9827±0.0162;0.9937±0.0000;1.0000±0.0000;0.9983±0.0012;0.9981±0.0027;0.9962±0.0027;1.0000±0.0000;1.0000±0.0000;0.9951±0.0035;1.0000±0.0000;1.0000±0.0000;0.9896±0.0085;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9883±0.0083;1.0000±0.0000;1.0000±0.0000;0.9833±0.0029;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9949±0.0018;0.9984±0.0023;1.0000±0.0000;1.0000±0.0000;0.9751±0.0070;1.0000±0.0000;0.9939±0.0043;1.0000±0.0000
mh_pso;1.0000±0.0000;0.9909±0.0026;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9985±0.0021;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9857±0.0000;0.9904±0.0034;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9978±0.0031;0.9972±0.0039;0.9913±0.0061;0.9937±0.0000;1.0000±0.0000;0.9967±0.0012;0.9981±0.0027;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9875±0.0051;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9962±0.0031;1.0000±0.0000;1.0000±0.0000;0.9976±0.0033;0.9701±0.0000;1.0000±0.0000;0.9939±0.0043;1.0000±0.0000
mh_cro;1.0000±0.0000;0.9909±0.0026;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9952±0.0068;0.9857±0.0000;0.9928±0.0000;0.9881±0.0168;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9917±0.0000;0.9784±0.0122;0.9937±0.0000;1.0000±0.0000;0.9967±0.0012;0.9962±0.0027;1.0000±0.0000;0.9976±0.0033;1.0000±0.0000;0.9975±0.0035;1.0000±0.0000;1.0000±0.0000;0.9896±0.0147;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9883±0.0083;1.0000±0.0000;1.0000±0.0000;0.9771±0.0106;0.9939±0.0086;1.0000±0.0000;1.0000±0.0000;0.9987±0.0018;0.9952±0.0068;0.9952±0.0067;1.0000±0.0000;0.9652±0.0070;1.0000±0.0000;0.9908±0.0000;1.0000±0.0000
