ronda,hospital,train_loss,train_acc,val_loss,val_acc,train_samples,val_samples,test_samples
1,Hospital_1,0.024639750081721857,0.9945652173913043,0.6326156914234161,0.8959044368600683,2944,586,398
1,Hospital_2,0.05759148599948579,0.9823489477257298,0.6223888516426086,0.8894557823129252,2946,588,397
1,Hospital_3,0.04203965231621017,0.9853989813242784,0.6185380041599273,0.9114139693356048,2945,587,398
1,Hospital_4,NA,NA,0.6368301510810852,0.8743633276740238,NA,589,396
1,Hospital_5,NA,NA,0.6513822972774506,0.8773424190800682,NA,587,398
1,Hospital_6,0.03910287750962501,0.9867572156196944,0.6231147170066833,0.8943781942078365,2945,587,398
1,Hospital_7,0.06125255273250134,0.9809782608695652,0.6321367263793946,0.878839590443686,2944,586,399
1,Hospital_8,NA,NA,0.6319309353828431,0.8758503401360545,NA,588,397
1,Hospital_9,0.40576178980215144,0.9042444821731749,0.6425452470779419,0.889267461669506,2945,587,398
1,Hospital_10,NA,NA,0.6519385874271393,0.8758503401360545,NA,588,397
1,Hospital_11,0.03972903155954555,0.9887945670628183,0.6511646032333374,0.879045996592845,2945,587,398
1,Hospital_12,0.05130133439282266,0.9826942653545979,0.6367971122264862,0.8743633276740238,2947,589,396
1,Hospital_13,0.03171894399692183,0.9901494565217391,0.6455689251422883,0.8754266211604096,2944,586,399
1,Hospital_14,NA,NA,0.6338606357574463,0.8826530612244898,NA,588,397
1,Hospital_15,NA,NA,0.6312210202217102,0.8824531516183987,NA,587,398
2,Hospital_1,0.015306613731967367,0.9955842391304348,0.01979279057122767,0.9982935153583617,2944,586,398
2,Hospital_2,0.01097580770147033,0.9976238968092329,0.026586320914793758,0.9948979591836735,2946,588,397
2,Hospital_3,NA,NA,0.02223465529968962,0.9982964224872232,NA,587,398
2,Hospital_4,0.024974372257323314,0.991856124872752,0.021619553584605454,0.9966044142614601,2947,589,396
2,Hospital_5,NA,NA,0.015271689929068088,1.0,NA,587,398
2,Hospital_6,0.024499337960151024,0.9928692699490662,0.02106929358560592,0.9948892674616695,2945,587,398
2,Hospital_7,NA,NA,0.01484684677561745,0.9948805460750854,NA,586,399
2,Hospital_8,0.014168231949724941,0.9955872369314325,0.03219180251471698,0.9914965986394558,2946,588,397
2,Hospital_9,NA,NA,0.016135407518595456,0.9982964224872232,NA,587,398
2,Hospital_10,0.020036331028677523,0.9925322471147319,0.023624398093670607,0.9948979591836735,2946,588,397
2,Hospital_11,0.019674717014519654,0.9949066213921901,0.055279202898964284,0.9914821124361158,2945,587,398
