ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,92.98,19.94
2,94.89,20.23
3,88.06,14.26
4,92.84,19.25
5,90.78,16.52
6,87.72,14.33
TOTAL,587.34,104.53
