ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,15.76,10.16
2,14.49,10.06
3,14.56,10.06
4,15.74,10.07
5,14.49,10.02
6,14.15,10.03
7,14.18,10.03
8,14.96,10.01
9,14.11,10.03
10,13.72,10.07
11,15.41,10.05
12,13.66,10.03
13,14.62,10.05
14,14.58,10.08
15,15.81,10.07
16,15.41,9.98
17,14.08,10.02
18,13.72,10.05
19,14.09,10.01
20,15.84,10.07
21,14.11,10.04
22,15.01,10.05
23,15.44,10.02
24,15.83,10.04
25,14.58,10.08
26,14.55,10.05
27,13.68,10.03
28,15.02,10.02
29,14.54,10.02
30,15.84,10.02
31,14.7,10.13
32,14.54,9.99
33,14.38,9.94
34,14.45,9.97
35,14.89,9.99
36,15.88,10.06
37,14.9,10.03
38,14.95,10.03
TOTAL,563.33,381.46
