metodo;lr;local_epochs;mu;lr_beta;lambda_reg;gamma_reg;best_val_acc;best_round;total_rounds;tiempo_seg
fedavg;0.05;3;;;;;0.997505;30;30;572.0
fedavg;0.01;3;;;;;0.986417;23;28;525.3
fedavg;0.05;1;;;;;0.993528;28;30;214.8
fedavg;0.05;10;;;;;0.997603;15;20;1229.0
fedavg;0.1;1;;;;;0.989845;15;20;144.6
fedavg;0.05;5;;;;;0.997736;20;25;774.3
fedavg;0.01;5;;;;;0.991666;29;30;1294.0
fedavg;0.01;10;;;;;0.994951;29;30;1503.6
fedavg;0.1;5;;;;;0.985821;7;10;253.5
fedavg;0.1;3;;;;;0.994867;19;22;335.7
fedprox;0.1;5;0.001;;;;0.998219;26;29;747.4
fedprox;0.1;5;0.01;;;;0.972896;4;7;166.2
fedprox;0.05;5;0.001;;;;0.996696;14;17;444.2
fedprox;0.1;1;0.01;;;;0.983613;12;15;89.3
fedprox;0.05;3;0.1;;;;0.996698;18;21;338.8
fedprox;0.05;3;0.001;;;;0.995996;13;16;259.0
fedprox;0.05;10;0.001;;;;0.998088;20;23;1173.9
fedprox;0.01;10;0.001;;;;0.948986;2;5;224.1
fedprox;0.1;5;0.1;;;;0.996883;20;23;594.5
fedprox;0.1;10;0.1;;;;0.995942;14;17;875.3
fedewa;0.01;5;;;;;0.979009;7;10;2249.8
fedewa;0.01;3;;;;;0.983997;12;15;2154.2
fedewa;0.01;10;;;;;0.988801;8;11;5099.5
fedewa;0.05;5;;;;;0.998048;18;21;5019.7
fedewa;0.001;10;;;;;0.979582;18;21;10021.1
fedewa;0.05;10;;;;;0.997344;7;10;4512.5
fedewa;0.01;1;;;;;0.968761;19;22;1036.0
fedewa;0.1;5;;;;;0.750246;1;4;831.9
fedewa;0.05;3;;;;;0.996523;13;16;2260.2
fedewa;0.001;3;;;;;0.554006;1;4;505.3
fedag;0.01;10;;0.001;;;0.991916;13;16;878.2
fedag;0.1;10;;0.01;;;0.997707;13;16;876.9
fedag;0.01;3;;0.01;;;0.988996;21;24;402.4
fedag;0.05;5;;0.01;;;0.996864;11;14;386.9
fedag;0.01;10;;0.1;;;0.9949;17;20;1087.3
fedag;0.05;5;;0.1;;;0.99756;19;22;603.9
fedag;0.01;5;;0.1;;;0.945452;2;5;121.5
fedag;0.01;3;;0.1;;;0.989981;23;26;437.6
fedag;0.01;5;;0.01;;;0.988253;14;17;472.0
fedag;0.001;10;;0.001;;;0.964232;13;16;875.2
mh_cro;0.1;10;;;0.01;0.05;0.985432;5;8;484.3
mh_cro;0.1;10;;;0.01;0.005;0.971736;5;8;479.8
mh_cro;0.1;5;;;0.001;0.005;0.997816;17;20;736.1
mh_cro;0.05;3;;;0.0001;0.05;0.996698;18;21;570.2
mh_cro;0.1;10;;;1e-05;0.005;0.978076;3;6;372.9
mh_cro;0.05;10;;;1e-05;0.01;0.998233;17;20;1203.3
mh_cro;0.1;3;;;1e-05;0.005;0.995194;15;18;482.0
mh_cro;0.1;10;;;0.001;0.01;0.98621;5;8;487.8
mh_cro;0.1;10;;;1e-05;0.05;0.997757;15;18;1086.1
mh_cro;0.1;5;;;0.001;0.01;0.949084;2;5;176.6
