metodo;lr;local_epochs;mu;lr_beta;lambda_reg;gamma_reg;best_val_acc;best_round;total_rounds;tiempo_seg
fedavg;0.001;1;;;;;0.390122;3;8;58.8
fedavg;0.001;3;;;;;0.569355;2;7;130.5
fedavg;0.001;5;;;;;0.568051;2;7;206.9
fedavg;0.001;10;;;;;0.555713;3;8;450.2
fedavg;0.01;1;;;;;0.651765;7;12;78.6
fedavg;0.01;3;;;;;0.939063;16;21;361.5
fedavg;0.01;5;;;;;0.870551;7;12;346.0
fedavg;0.01;10;;;;;0.870287;7;12;680.9
fedavg;0.05;1;;;;;0.934569;10;15;97.1
fedavg;0.05;3;;;;;0.971594;24;29;505.8
fedavg;0.05;5;;;;;0.873062;2;7;207.8
fedavg;0.05;10;;;;;0.934302;10;15;833.9
fedavg;0.1;1;;;;;0.913499;10;15;96.4
fedavg;0.1;3;;;;;0.799742;6;11;198.6
fedavg;0.1;5;;;;;0.844829;2;7;207.5
fedavg;0.1;10;;;;;0.792207;2;7;408.2
fedavg;0.5;1;;;;;0.129391;1;6;39.1
fedavg;0.5;3;;;;;0.129391;1;6;105.2
fedavg;0.5;5;;;;;0.129391;1;6;170.5
fedavg;0.5;10;;;;;0.129391;1;6;336.4
fedprox;0.001;1;0.001;;;;0.567714;2;7;48.8
fedprox;0.001;1;0.01;;;;0.567714;2;7;48.3
fedprox;0.001;1;0.1;;;;0.56783;2;7;48.4
fedprox;0.001;1;1.0;;;;0.557793;2;7;48.3
fedprox;0.001;3;0.001;;;;0.919607;22;27;492.6
fedprox;0.001;3;0.01;;;;0.916529;22;27;491.8
fedprox;0.001;3;0.1;;;;0.916139;22;27;500.5
fedprox;0.001;3;1.0;;;;0.913685;22;27;491.2
fedprox;0.001;5;0.001;;;;0.929637;22;27;798.8
fedprox;0.001;5;0.01;;;;0.929568;22;27;797.6
fedprox;0.001;5;0.1;;;;0.929362;22;27;797.4
fedprox;0.001;5;1.0;;;;0.923629;22;27;796.4
fedprox;0.001;10;0.001;;;;0.644958;2;7;421.1
fedprox;0.001;10;0.01;;;;0.640657;2;7;422.4
fedprox;0.001;10;0.1;;;;0.945722;21;26;1495.4
fedprox;0.001;10;1.0;;;;0.935506;22;27;1565.9
fedprox;0.01;1;0.001;;;;0.609139;2;7;48.0
fedprox;0.01;1;0.01;;;;0.609048;2;7;48.2
