ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,86.84,13.49
2,85.82,11.18
3,87.87,14.71
4,86.75,12.58
5,85.0,11.15
6,89.3,16.12
TOTAL,564.95,79.23
