ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,158.7,98.8
2,157.78,99.74
3,153.86,97.61
4,154.6,97.14
5,154.26,97.81
6,160.32,97.33
7,165.17,104.99
8,153.05,99.01
9,162.16,99.34
10,158.08,97.83
11,153.77,98.03
12,156.84,97.43
13,155.58,97.1
14,163.47,97.67
15,155.52,97.05
16,157.33,96.92
17,153.79,98.65
18,159.66,98.94
19,161.99,98.26
20,157.86,98.49
21,154.92,97.56
22,156.48,97.45
23,152.43,98.5
24,156.44,97.19
25,147.75,97.9
26,158.52,97.72
27,155.27,98.14
28,155.84,97.76
29,161.21,97.97
30,155.18,98.56
31,153.79,97.45
32,158.49,97.61
TOTAL,5050.65,3141.95
