ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,133.86,77.03
2,130.66,77.27
3,130.28,77.76
4,132.31,77.75
5,135.97,77.55
6,132.15,77.54
7,130.47,77.3
8,135.58,78.0
9,132.22,76.95
10,138.38,78.08
11,132.55,77.19
12,140.43,80.1
13,138.95,78.25
14,138.76,79.18
15,135.96,79.17
16,137.32,77.72
17,140.26,77.97
18,131.07,77.56
19,125.78,76.72
20,123.72,77.39
21,129.65,77.59
22,130.65,78.2
23,131.16,77.54
24,127.41,77.98
25,127.42,77.1
26,132.4,77.7
27,133.14,77.71
28,139.13,77.92
29,129.78,77.57
30,128.13,77.5
31,129.36,77.48
32,135.55,77.75
TOTAL,4290.79,2488.52
