ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,81.06,7.58
2,79.12,5.28
3,81.44,7.87
4,81.37,7.15
5,79.59,5.34
6,81.31,7.5
7,83.17,8.62
8,79.71,5.39
TOTAL,681.02,54.73
