ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,19.77,14.26
2,19.76,13.56
3,19.77,13.73
4,18.33,13.53
5,19.17,13.77
6,19.93,15.1
7,23.09,17.91
8,24.68,18.56
9,22.14,16.1
10,24.41,19.2
11,24.89,19.74
12,24.6,19.51
13,28.82,21.06
14,24.85,18.64
15,25.2,18.2
16,25.68,18.12
17,25.03,19.49
18,28.44,20.27
19,24.86,19.06
20,23.94,18.59
21,23.19,17.85
22,25.02,19.25
23,18.83,12.75
24,18.64,12.77
25,17.7,12.62
26,17.23,12.64
27,17.74,12.7
28,16.77,12.66
29,18.51,12.66
30,17.84,12.78
31,18.63,12.77
TOTAL,680.22,499.85
