ronda,hospital,local_epoch,train_loss,train_acc
1,Hospital_1,1,0.7901652000452343,0.7659559882086789
1,Hospital_1,2,0.3995419274688813,0.9492698978542538
1,Hospital_1,3,0.23539495938702634,0.9547542332213614
1,Hospital_1,4,0.17550336174144035,0.9595530266675807
1,Hospital_1,5,0.14723231542136586,0.9640090491533557
1,Hospital_5,1,1.0822317745849377,0.8429150763358778
1,Hospital_5,2,0.4933444247900985,0.8907442748091603
1,Hospital_5,3,0.41927207016762885,0.8907442748091603
1,Hospital_5,4,0.38137379937044535,0.8907442748091603
1,Hospital_5,5,0.35969509286734896,0.8907442748091603
1,Hospital_3,1,1.6222859422365825,0.7304347826086957
1,Hospital_3,2,1.3490311702092488,0.991304347826087
1,Hospital_3,3,1.0794214407602947,0.991304347826087
1,Hospital_3,4,0.8178558846314748,0.991304347826087
1,Hospital_3,5,0.5883343815803528,0.991304347826087
2,Hospital_3,1,0.7280156910419464,0.991304347826087
2,Hospital_3,2,0.31904589881499607,0.991304347826087
2,Hospital_3,3,0.19005935887495676,0.991304347826087
2,Hospital_3,4,0.1332876831293106,0.991304347826087
2,Hospital_3,5,0.10130105664332707,0.991304347826087
2,Hospital_2,1,0.6276004483612875,0.8959372189977929
2,Hospital_2,2,0.136022523821642,0.9961579334586773
2,Hospital_2,3,0.060530190802334495,0.9961579334586773
2,Hospital_2,4,0.04320708323211875,0.9961579334586773
2,Hospital_2,5,0.03654207596264314,0.9961579334586773
2,Hospital_1,1,0.3911836039470999,0.9605813395489134
2,Hospital_1,2,0.1980136404173416,0.9625008569274011
2,Hospital_1,3,0.15176470760713545,0.9653115788030439
2,Hospital_1,4,0.12999895770560232,0.9684650716391308
2,Hospital_1,5,0.11844889352326854,0.9703160348255295
3,Hospital_2,1,0.2536717795301229,0.9896999918253904
3,Hospital_2,2,0.06608384862192906,0.9961579334586773
3,Hospital_2,3,0.042964302502999395,0.9961579334586773
3,Hospital_2,4,0.035306918718561064,0.9961579334586773
3,Hospital_2,5,0.0314243592438288,0.9961579334586773
3,Hospital_1,1,0.22666345592261405,0.966545554260643
3,Hospital_1,2,0.14751084047582066,0.9682594090628642
3,Hospital_1,3,0.1241623311254539,0.9699047096729965
3,Hospital_1,4,0.11215613104337663,0.9710701309385069
3,Hospital_1,5,0.10397824203072671,0.9731953108932612
3,Hospital_3,1,0.3471160630385081,0.991304347826087
3,Hospital_3,2,0.11060759300986926,0.991304347826087
3,Hospital_3,3,0.07218475763996442,0.991304347826087
3,Hospital_3,4,0.05696700451274713,0.991304347826087
3,Hospital_3,5,0.04758998813728491,0.991304347826087
4,Hospital_5,1,0.629830795276256,0.8276479007633588
4,Hospital_5,2,0.3742045611143112,0.8907442748091603
4,Hospital_5,3,0.3081891842698323,0.8907442748091603
4,Hospital_5,4,0.24381062286045715,0.8907442748091603
4,Hospital_5,5,0.17445970690659895,0.9256917938931297
4,Hospital_1,1,0.16265906772592612,0.9698361554809076
4,Hospital_1,2,0.12235114218569115,0.9712757935147734
4,Hospital_1,3,0.1079512121188536,0.9731267567011723
4,Hospital_1,4,0.09934616421365686,0.9756632618084596
4,Hospital_1,5,0.09301367094903662,0.9764859121135258
4,Hospital_3,1,0.2614760063588619,0.9855072463768116
4,Hospital_3,2,0.07436635096867879,0.991304347826087
4,Hospital_3,3,0.05346280833085378,0.991304347826087
4,Hospital_3,4,0.044483793899416924,0.991304347826087
4,Hospital_3,5,0.038106635212898254,0.991304347826087
5,Hospital_4,1,0.26153174056397643,0.9422299248989023
5,Hospital_4,2,0.07185603619334013,0.9832466782206817
5,Hospital_4,3,0.0575366952278487,0.9831311380704795
5,Hospital_4,4,0.051356853629626775,0.9834777585210861
5,Hospital_4,5,0.046909768055604005,0.9841709994222992
5,Hospital_1,1,0.12908335249021388,0.9747035031192157
5,Hospital_1,2,0.10666077673075754,0.9746349489271269
5,Hospital_1,3,0.09665588202085673,0.9764859121135258
5,Hospital_1,4,0.08863200714582936,0.9784054294920135
5,Hospital_1,5,0.08409831778293378,0.9798450675258792
5,Hospital_5,1,0.4857492180726,0.8602099236641222
5,Hospital_5,2,0.2877403368021696,0.8907442748091603
5,Hospital_5,3,0.19970336038875217,0.9031488549618321
5,Hospital_5,4,0.12743578219914253,0.9731631679389313
5,Hospital_5,5,0.08079504144896987,0.9930820610687023
