ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,5.58,0.38
2,6.17,0.39
3,4.01,0.37
4,5.0,0.38
5,5.75,0.36
6,4.57,0.37
7,6.22,0.37
8,5.76,0.38
9,6.38,0.37
10,4.98,0.37
11,4.89,0.46
12,5.81,0.47
13,7.16,0.54
14,7.71,0.49
TOTAL,83.18,5.7
