ronda,hospital,local_epoch,train_loss,train_acc
1,Hospital_1,1,1.6095707113282722,0.44628779049838896
1,Hospital_1,2,1.0645061595398082,0.514019332282169
1,Hospital_1,3,0.7103117291341748,0.7896071844793309
1,Hospital_1,4,0.5872452065610049,0.9137588263522315
1,Hospital_1,5,0.48279199344024326,0.9213683416740933
1,Hospital_5,1,1.5058448946837224,0.7880486641221374
1,Hospital_5,2,0.7453192431818355,0.8907442748091603
1,Hospital_5,3,0.4369727856282032,0.8907442748091603
1,Hospital_5,4,0.3925020509597027,0.8907442748091603
1,Hospital_5,5,0.3725815146709933,0.8907442748091603
1,Hospital_3,1,1.8126577138900757,0.0
1,Hospital_3,2,1.7851866483688354,0.0
1,Hospital_3,3,1.7607333262761433,0.10144927536231885
1,Hospital_3,4,1.7380160093307495,0.6579710144927536
1,Hospital_3,5,1.7165776491165161,0.8521739130434782
1,Hospital_2,1,1.5926366734007995,0.7782228398593967
1,Hospital_2,2,1.0842561063667138,0.7004005558734571
1,Hospital_2,3,0.5942172147333622,0.975557917109458
1,Hospital_2,4,0.2958171213977039,0.9961579334586773
1,Hospital_2,5,0.14737979578785598,0.9961579334586773
1,Hospital_4,1,1.2860397871802836,0.8380127094165223
1,Hospital_4,2,0.5138592452687376,0.8567302137492778
1,Hospital_4,3,0.36115459944395456,0.8567302137492778
1,Hospital_4,4,0.3197462254149072,0.8567302137492778
1,Hospital_4,5,0.29076161301311326,0.8567302137492778
2,Hospital_2,1,0.6824497043465575,0.9706531513120249
2,Hospital_2,2,0.21126953861676157,0.9961579334586773
2,Hospital_2,3,0.10387819287522386,0.9961579334586773
2,Hospital_2,4,0.07064135756809264,0.9961579334586773
2,Hospital_2,5,0.05713977127258355,0.9961579334586773
2,Hospital_5,1,0.7299027262311993,0.794131679389313
2,Hospital_5,2,0.382166837200974,0.8907442748091603
2,Hospital_5,3,0.35479200970042835,0.8907442748091603
2,Hospital_5,4,0.341006926966436,0.8907442748091603
2,Hospital_5,5,0.3292140233697313,0.8907442748091603
2,Hospital_3,1,1.6890709797541301,0.0
2,Hospital_3,2,1.429718812306722,0.5855072463768116
2,Hospital_3,3,1.2057413657506306,0.991304347826087
2,Hospital_3,4,1.0208356181780498,0.991304347826087
2,Hospital_3,5,0.8653538823127747,0.991304347826087
2,Hospital_1,1,0.8010267265010298,0.8075683828066086
2,Hospital_1,2,0.45318780708731266,0.9229450880921368
2,Hospital_1,3,0.3214334023364803,0.9424144786453692
2,Hospital_1,4,0.24209408305193247,0.9484472475491876
2,Hospital_1,5,0.19597856118752247,0.9550284499897169
2,Hospital_4,1,0.5670104289756102,0.8054303870595032
2,Hospital_4,2,0.25804218255421696,0.8598497978047371
2,Hospital_4,3,0.2032864350168144,0.9438474870017332
2,Hospital_4,4,0.16669618064428077,0.9805892547660312
2,Hospital_4,5,0.14074742120197592,0.9838243789716926
3,Hospital_5,1,0.5730383639985864,0.8206106870229007
3,Hospital_5,2,0.3437324532053687,0.8907442748091603
3,Hospital_5,3,0.3238258905934565,0.8907442748091603
3,Hospital_5,4,0.31142991736079706,0.8907442748091603
3,Hospital_5,5,0.3008673166235288,0.8907442748091603
3,Hospital_4,1,0.29723117544370536,0.9453495089543617
3,Hospital_4,2,0.12538172047146978,0.9838243789716926
3,Hospital_4,3,0.10140967664911467,0.9837088388214905
3,Hospital_4,4,0.08739378330681254,0.9835932986712883
3,Hospital_4,5,0.07844058577628697,0.9835932986712883
3,Hospital_1,1,0.46559833147023855,0.9370672516624392
