ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,60.6,35.29
2,61.42,35.85
3,61.7,36.18
4,61.86,36.19
5,60.62,35.24
6,60.81,35.48
7,61.07,35.64
8,60.94,35.37
9,61.38,35.61
10,60.91,35.24
11,61.32,35.73
TOTAL,699.29,391.82
