metodo;accuracy_mean;accuracy_std;seed_16;seed_999;seed_1935
fedavg;0.967024;0.011714;0.965124;0.982227;0.953722
fedprox;0.879164;0.166273;0.998826;0.644031;0.994634
fedewa;0.445786;0.39094;0.998659;0.169349;0.169349
fedag;0.69763;0.373552;0.960932;0.169349;0.962609
mh_random_search;0.721887;0.390703;0.998826;0.169349;0.997485
mh_de;0.441929;0.385486;0.169349;0.987089;0.169349
mh_ga;0.718198;0.388131;0.986083;0.999162;0.169349
mh_pso;0.99687;0.002096;0.993964;0.998826;0.99782
mh_cro;0.997653;0.000711;0.998156;0.998156;0.996647
