ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,60.94,25.12
2,63.59,25.15
3,76.7,24.86
4,70.69,24.92
5,77.79,25.14
6,75.33,25.26
7,72.38,24.87
8,77.99,24.85
9,67.09,25.14
10,77.34,25.1
11,81.53,24.99
12,66.7,24.93
TOTAL,893.17,300.33
