ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,50.43,0.03
2,50.19,0.0
3,50.01,0.0
4,50.22,0.0
5,50.22,0.01
6,49.96,0.0
7,50.13,0.0
8,49.94,0.01
TOTAL,425.97,0.05
