ronda,tiempo_ronda_seg,tiempo_agregacion_seg
1,10.39,4.81
2,10.61,4.74
3,8.48,4.85
4,8.78,4.66
5,10.63,4.86
6,10.44,4.76
7,10.53,4.82
8,10.09,4.78
9,10.18,4.87
10,10.58,4.82
11,9.74,4.77
12,8.41,4.83
13,9.62,4.72
14,9.57,4.77
15,8.83,4.75
16,9.87,4.9
TOTAL,159.46,76.71
